Country Name,Country Code,year,land_area
Aruba,ABW,2020,180
Africa Eastern and Southern,AFE,2020,14845090.23
Afghanistan,AFG,2020,652230
Africa Western and Central,AFW,2020,9045770
Angola,AGO,2020,1246700
Albania,ALB,2020,27400
Andorra,AND,2020,470
Arab World,ARB,2020,13100549
United Arab Emirates,ARE,2020,71020
Argentina,ARG,2020,2736690
Armenia,ARM,2020,28470
American Samoa,ASM,2020,200
Antigua and Barbuda,ATG,2020,440
Australia,AUS,2020,7692020
Austria,AUT,2020,82520
Azerbaijan,AZE,2020,82646
Burundi,BDI,2020,25680
Belgium,BEL,2020,30494
Benin,BEN,2020,112760
Burkina Faso,BFA,2020,273600
Bangladesh,BGD,2020,130170
Bulgaria,BGR,2020,108560
Bahrain,BHR,2020,785
"Bahamas, The",BHS,2020,10010
Bosnia and Herzegovina,BIH,2020,51200
Belarus,BLR,2020,202980
Belize,BLZ,2020,22810
Bermuda,BMU,2020,54
Bolivia,BOL,2020,1083300
Brazil,BRA,2020,8358140
Barbados,BRB,2020,430
Brunei Darussalam,BRN,2020,5270
Bhutan,BTN,2020,38140
Botswana,BWA,2020,566730
Central African Republic,CAF,2020,622980
Canada,CAN,2020,8965590
Central Europe and the Baltics,CEB,2020,1105004.93
Switzerland,CHE,2020,39509.63
Channel Islands,CHI,2020,198
Chile,CHL,2020,743532
China,CHN,2020,9388210
Cote d'Ivoire,CIV,2020,318000
Cameroon,CMR,2020,472710
"Congo, Dem. Rep.",COD,2020,2267050
"Congo, Rep.",COG,2020,341500
Colombia,COL,2020,1109500
Comoros,COM,2020,1861
Cabo Verde,CPV,2020,4030
Costa Rica,CRI,2020,51060
Caribbean small states,CSS,2020,393397.61
Cuba,CUB,2020,103800
Curacao,CUW,2020,444
Cayman Islands,CYM,2020,240
Cyprus,CYP,2020,9240
Czechia,CZE,2020,77198.53
Germany,DEU,2020,349390
Djibouti,DJI,2020,23180
Dominica,DMA,2020,750
Denmark,DNK,2020,40000
Dominican Republic,DOM,2020,48198.02
Algeria,DZA,2020,2381741
East Asia & Pacific (excluding high income),EAP,2020,15986074.8
Early-demographic dividend,EAR,2020,33315046.03
East Asia & Pacific,EAS,2020,24469416.7
Europe & Central Asia (excluding high income),ECA,2020,5907730.6
Europe & Central Asia,ECS,2020,27440780.89
Ecuador,ECU,2020,248360
"Egypt, Arab Rep.",EGY,2020,995450
Euro area,EMU,2020,2736151.105
Eritrea,ERI,2020,121040.829
Spain,ESP,2020,499556.645
Estonia,EST,2020,42750
Ethiopia,ETH,2020,1128571.4
European Union,EUU,2020,3996659.635
Fragile and conflict affected situations,FCS,2020,20454301.23
Finland,FIN,2020,303940
Fiji,FJI,2020,18270
France,FRA,2020,547557
Faroe Islands,FRO,2020,1366
"Micronesia, Fed. Sts.",FSM,2020,700
Gabon,GAB,2020,257670
United Kingdom,GBR,2020,241930
Georgia,GEO,2020,69490
Ghana,GHA,2020,227530
Gibraltar,GIB,2020,10
Guinea,GIN,2020,245720
"Gambia, The",GMB,2020,10120
Guinea-Bissau,GNB,2020,28120
Equatorial Guinea,GNQ,2020,28050
Greece,GRC,2020,128900
Grenada,GRD,2020,340
Greenland,GRL,2020,410450
Guatemala,GTM,2020,107160
Guam,GUM,2020,540
Guyana,GUY,2020,196850
High income,HIC,2020,51929301.19
"Hong Kong SAR, China",HKG,2020,1050
Honduras,HND,2020,111890
Heavily indebted poor countries (HIPC),HPC,2020,19394763.23
Croatia,HRV,2020,55960
Haiti,HTI,2020,27560
Hungary,HUN,2020,91260
IBRD only,IBD,2020,70770315.42
IDA & IBRD total,IBT,2020,96059576.26
IDA total,IDA,2020,25289260.84
IDA blend,IDB,2020,4585137.61
Indonesia,IDN,2020,1877519
IDA only,IDX,2020,20704123.23
Isle of Man,IMN,2020,570
India,IND,2020,2973190
Not classified,INX,2020,
Ireland,IRL,2020,68890
"Iran, Islamic Rep.",IRN,2020,1622500
Iraq,IRQ,2020,434128
Iceland,ISL,2020,100830
Israel,ISR,2020,21640
Italy,ITA,2020,295717
Jamaica,JAM,2020,10830
Jordan,JOR,2020,88794
