Country Name,Country Code,year,Population
Aruba,ABW,2020,108587
Africa Eastern and Southern,AFE,2020,694446100
Afghanistan,AFG,2020,39068979
Africa Western and Central,AFW,2020,474569351
Angola,AGO,2020,33451132
Albania,ALB,2020,2837849
Andorra,AND,2020,77380
Arab World,ARB,2020,453723239
United Arab Emirates,ARE,2020,9401038
Argentina,ARG,2020,45191965
Armenia,ARM,2020,2961500
American Samoa,ASM,2020,49761
Antigua and Barbuda,ATG,2020,91846
Australia,AUS,2020,25649248
Austria,AUT,2020,8916864
Azerbaijan,AZE,2020,10093121
Burundi,BDI,2020,12617036
Belgium,BEL,2020,11538604
Benin,BEN,2020,13070169
Burkina Faso,BFA,2020,21478690
Bangladesh,BGD,2020,166298024
Bulgaria,BGR,2020,6934015
Bahrain,BHR,2020,1472204
"Bahamas, The",BHS,2020,395863
Bosnia and Herzegovina,BIH,2020,3299349
Belarus,BLR,2020,9379952
Belize,BLZ,2020,390812
Bermuda,BMU,2020,64382
Bolivia,BOL,2020,11816299
Brazil,BRA,2020,208660842
Barbados,BRB,2020,281698
Brunei Darussalam,BRN,2020,447404
Bhutan,BTN,2020,770006
Botswana,BWA,2020,2365894
Central African Republic,CAF,2020,5026628
Canada,CAN,2020,38028638
Central Europe and the Baltics,CEB,2020,102046650
Switzerland,CHE,2020,8638167
Channel Islands,CHI,2020,166235
Chile,CHL,2020,19370624
China,CHN,2020,1411100000
Cote d'Ivoire,CIV,2020,28915449
Cameroon,CMR,2020,26210558
"Congo, Dem. Rep.",COD,2020,95989998
"Congo, Rep.",COG,2020,5752791
Colombia,COL,2020,50629997
Comoros,COM,2020,802163
Cabo Verde,CPV,2020,514679
Costa Rica,CRI,2020,5034320
Caribbean small states,CSS,2020,3092577
Cuba,CUB,2020,11176354
Curacao,CUW,2020,154947
Cayman Islands,CYM,2020,68684
Cyprus,CYP,2020,1302247
Czechia,CZE,2020,10697858
Germany,DEU,2020,83160871
Djibouti,DJI,2020,1105188
Dominica,DMA,2020,67573
Denmark,DNK,2020,5831404
Dominican Republic,DOM,2020,11008300
Algeria,DZA,2020,44042091
East Asia & Pacific (excluding high income),EAP,2020,2121866294
Early-demographic dividend,EAR,2020,3396051187
East Asia & Pacific,EAS,2020,2369438682
Europe & Central Asia (excluding high income),ECA,2020,250655325.5
Europe & Central Asia,ECS,2020,925088545.5
Ecuador,ECU,2020,17546065
"Egypt, Arab Rep.",EGY,2020,109315124
Euro area,EMU,2020,346922366
Eritrea,ERI,2020,3291271
Spain,ESP,2020,47365655
Estonia,EST,2020,1329522
Ethiopia,ETH,2020,118917671
European Union,EUU,2020,447653554
Fragile and conflict affected situations,FCS,2020,996691242
Finland,FIN,2020,5529543
Fiji,FJI,2020,914963
France,FRA,2020,67601110
Faroe Islands,FRO,2020,52571
"Micronesia, Fed. Sts.",FSM,2020,110916
Gabon,GAB,2020,2322539
United Kingdom,GBR,2020,67081234
Georgia,GEO,2020,3722716
Ghana,GHA,2020,31887809
Gibraltar,GIB,2020,36173
Guinea,GIN,2020,13371183
"Gambia, The",GMB,2020,2515733
Guinea-Bissau,GNB,2020,2013255
Equatorial Guinea,GNQ,2020,1716468
Greece,GRC,2020,10698599
Grenada,GRD,2020,116341
Greenland,GRL,2020,56367
Guatemala,GTM,2020,17357325
Guam,GUM,2020,162158
Guyana,GUY,2020,807481
High income,HIC,2020,1389524835
"Hong Kong SAR, China",HKG,2020,7481000
Honduras,HND,2020,10119640
Heavily indebted poor countries (HIPC),HPC,2020,847743308
Croatia,HRV,2020,3914206
Haiti,HTI,2020,11243848
Hungary,HUN,2020,9750149
IBRD only,IBD,2020,4879367453
IDA & IBRD total,IBT,2020,6667541079
IDA total,IDA,2020,1788173626
IDA blend,IDB,2020,597524859
Indonesia,IDN,2020,274814866
IDA only,IDX,2020,1190648767
Isle of Man,IMN,2020,84064
India,IND,2020,1402617695
Not classified,INX,2020,
Ireland,IRL,2020,4985382
"Iran, Islamic Rep.",IRN,2020,87723443
Iraq,IRQ,2020,42116605
Iceland,ISL,2020,366463
Israel,ISR,2020,9215100
Italy,ITA,2020,59438851
Jamaica,JAM,2020,2830739
Jordan,JOR,2020,10865228
Japan,JPN,2020,126261000
Kazakhstan,KAZ,2020,19482117
Kenya,KEN,2020,52217334
Kyrgyz Republic,KGZ,2020,6726595.5
Cambodia,KHM,2020,16725474
Kiribati,KIR,2020,126099
St. Kitts and Nevis,KNA,2020,46870
"Korea, Rep.",KOR,2020,51836239
Kuwait,KWT,2020,4400267
Latin America & Caribbean (excluding high income),LAC,2020,583125825
Lao PDR,LAO,2020,7346533
Lebanon,LBN,2020,5702398
Liberia,LBR,2020,5149463
Libya,LBY,2020,7045399
St. Lucia,LCA,2020,178250
Latin America & Caribbean,LCN,2020,645497618
Least developed countries: UN classification,LDC,2020,1083636132
Low income,LIC,2020,679560744
Liechtenstein,LIE,2020,38901
Sri Lanka,LKA,2020,21919000
Lower middle income,LMC,2020,2966396717
Low & middle income,LMY,2020,6438169878
Lesotho,LSO,2020,2235727
Late-demographic dividend,LTE,2020,2316785460
Lithuania,LTU,2020,2794885
Luxembourg,LUX,2020,630419
Latvia,LVA,2020,1900449
"Macao SAR, China",MAC,2020,685400
St. Martin (French part),MAF,2020,31786
Morocco,MAR,2020,36584208
Monaco,MCO,2020,38050
Moldova,MDA,2020,2635130
Madagascar,MDG,2020,28953556
Maldives,MDV,2020,502118
Middle East & North Africa,MEA,2020,482334398
Mexico,MEX,2020,126799054
Marshall Islands,MHL,2020,42706
Middle income,MIC,2020,5758609134
North Macedonia,MKD,2020,1856124
Mali,MLI,2020,21713836
Malta,MLT,2020,515332
Myanmar,MMR,2020,53016522
Middle East & North Africa (excluding high income),MNA,2020,418461302
Montenegro,MNE,2020,621306
Mongolia,MNG,2020,3327204
Northern Mariana Islands,MNP,2020,47528
Mozambique,MOZ,2020,30783688
Mauritania,MRT,2020,4600131
Mauritius,MUS,2020,1266014
Malawi,MWI,2020,19533888
Malaysia,MYS,2020,33889558
North America,NAC,2020,369619953
Namibia,NAM,2020,2728762
New Caledonia,NCL,2020,284176
Niger,NER,2020,23717613
Nigeria,NGA,2020,213996181
Nicaragua,NIC,2020,6565267
Netherlands,NLD,2020,17441500
Norway,NOR,2020,5379475
Nepal,NPL,2020,28966574
Nauru,NRU,2020,11643
New Zealand,NZL,2020,5090200
OECD members,OED,2020,1370013876
Oman,OMN,2020,4522497
Other small states,OSS,2020,13884095
Pakistan,PAK,2020,235001746
Panama,PAN,2020,4293261
Peru,PER,2020,32838579
Philippines,PHL,2020,112081264
Palau,PLW,2020,17792
Papua New Guinea,PNG,2020,9815746
Poland,POL,2020,37899070
Pre-demographic dividend,PRE,2020,998624261
Puerto Rico,PRI,2020,3281557
"Korea, Dem. People's Rep.",PRK,2020,26136312
Portugal,PRT,2020,10297081
Paraguay,PRY,2020,6603739
West Bank and Gaza,PSE,2020,4803269
Pacific island small states,PSS,2020,2595522
Post-demographic dividend,PST,2020,1117765361
French Polynesia,PYF,2020,279209
Qatar,QAT,2020,2794148
Romania,ROU,2020,19265250
Russian Federation,RUS,2020,145245148
Rwanda,RWA,2020,13065837
South Asia,SAS,2020,1895144142
Saudi Arabia,SAU,2020,31552510
Sudan,SDN,2020,46789231
Senegal,SEN,2020,16789219
Singapore,SGP,2020,5685807
Solomon Islands,SLB,2020,744498
Sierra Leone,SLE,2020,7912558
El Salvador,SLV,2020,6234673
San Marino,SMR,2020,34770
Somalia,SOM,2020,16651191
Serbia,SRB,2020,6899126
Sub-Saharan Africa (excluding high income),SSA,2020,1168916989
South Sudan,SSD,2020,10698467
Sub-Saharan Africa,SSF,2020,1169015451
Small states,SST,2020,19572194
Sao Tome and Principe,STP,2020,217435
Suriname,SUR,2020,612317
Slovak Republic,SVK,2020,5458827
Slovenia,SVN,2020,2102419
Sweden,SWE,2020,10353442
Eswatini,SWZ,2020,1192729
Sint Maarten (Dutch part),SXM,2020,41008
Seychelles,SYC,2020,98462
Syrian Arab Republic,SYR,2020,21049429
Turks and Caicos Islands,TCA,2020,44386
Chad,TCD,2020,17224679
East Asia & Pacific (IDA & IBRD countries),TEA,2020,2095759417
Europe & Central Asia (IDA & IBRD countries),TEC,2020,463913014.5
Togo,TGO,2020,8669720
Thailand,THA,2020,71641484
Tajikistan,TJK,2020,9749310
Turkmenistan,TKM,2020,6949912
Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,630051021
Timor-Leste,TLS,2020,1326053
Middle East & North Africa (IDA & IBRD countries),TMN,2020,413658033
Tonga,TON,2020,105704
South Asia (IDA & IBRD),TSA,2020,1895144142
Sub-Saharan Africa (IDA & IBRD countries),TSS,2020,1169015451
Trinidad and Tobago,TTO,2020,1366725
Tunisia,TUN,2020,11974057
Turkiye,TUR,2020,83384680
Tuvalu,TUV,2020,10399
Tanzania,TZA,2020,60972798
Uganda,UGA,2020,44457152
Ukraine,UKR,2020,44680014
Upper middle income,UMC,2020,2792212417
Uruguay,URY,2020,3398968
United States,USA,2020,331526933
Uzbekistan,UZB,2020,33586372
St. Vincent and the Grenadines,VCT,2020,103526
"Venezuela, RB",VEN,2020,28444077
British Virgin Islands,VGB,2020,37135
Virgin Islands (U.S.),VIR,2020,106290
Viet Nam,VNM,2020,98079191
Vanuatu,VUT,2020,298858
World,WLD,2020,7856138790
Samoa,WSM,2020,211944
Kosovo,XKX,2020,1790152
"Yemen, Rep.",YEM,2020,36134863
South Africa,ZAF,2020,60562381
Zambia,ZMB,2020,19059395
Zimbabwe,ZWE,2020,15526888
